"","Year","Country","Energy type","Generation (TWh)"
"129",2000,"Estonia","Wind and solar",0
"130",2000,"Estonia","Wind",0
"131",2000,"Estonia","Solar",0
"132",2000,"Estonia","Bioenergy",0.01325
"133",2000,"Estonia","Other renewables",0
"134",2000,"Estonia","Production",8.51325
"135",2000,"Estonia","Net imports",-0.928999999999999
"136",2000,"Estonia","Demand",7.58425
"137",2000,"EU-27","Fossil",1358.350375
"138",2000,"EU-27","Coal",795.053
"139",2000,"EU-27","Hard Coal",455.272
"140",2000,"EU-27","Lignite",339.781
"141",2000,"EU-27","Gas",328.208561
"142",2000,"EU-27","Other fossil",235.088813999999
"143",2000,"EU-27","Nuclear",859.924
"144",2000,"EU-27","Renewables",410.942705
"145",2000,"EU-27","Hydro",354.934401
"146",2000,"EU-27","Wind and solar",21.5172089999999
"147",2000,"EU-27","Wind",21.423989
"148",2000,"EU-27","Solar",0.09322
"149",2000,"EU-27","Bioenergy",29.198788
"150",2000,"EU-27","Other renewables",5.292307
"151",2000,"EU-27","Production",2629.21708
"152",2000,"EU-27","Net imports",8.89052399999998
"153",2000,"EU-27","Demand",2638.107604
"154",2000,"EU27+1","Fossil",1637.69237499999
"155",2000,"EU27+1","Coal",915.002999999999
"156",2000,"EU27+1","Hard Coal",575.222
"157",2000,"EU27+1","Lignite",339.781
"158",2000,"EU27+1","Gas",476.285561
"159",2000,"EU27+1","Other fossil",246.403813999999
"160",2000,"EU27+1","Nuclear",944.987
"161",2000,"EU27+1","Renewables",420.912705
"162",2000,"EU27+1","Hydro",360.020401
"163",2000,"EU27+1","Wind and solar",22.465209
"164",2000,"EU27+1","Wind",22.370989
"165",2000,"EU27+1","Solar",0.09422
"166",2000,"EU27+1","Bioenergy",33.134788
"167",2000,"EU27+1","Other renewables",5.292307
"168",2000,"EU27+1","Production",3003.59208
"169",2000,"EU27+1","Net imports",23.0645239999999
"170",2000,"EU27+1","Demand",3026.656604
"171",2000,"Finland","Fossil",23.927302
"172",2000,"Finland","Coal",8.487
"173",2000,"Finland","Hard Coal",8.487
"174",2000,"Finland","Lignite",0
"175",2000,"Finland","Gas",10.131
"176",2000,"Finland","Other fossil",5.309302
"177",2000,"Finland","Nuclear",22.479
"178",2000,"Finland","Renewables",23.378601
"179",2000,"Finland","Hydro",14.66
"180",2000,"Finland","Wind and solar",0.079576
"181",2000,"Finland","Wind",0.078
"182",2000,"Finland","Solar",0.001576
"183",2000,"Finland","Bioenergy",8.639025
"184",2000,"Finland","Other renewables",0
"185",2000,"Finland","Production",69.784903
"186",2000,"Finland","Net imports",11.8799999999999
"187",2000,"Finland","Demand",81.664903
"188",2000,"France","Fossil",50.62
"189",2000,"France","Coal",27.0039999999999
"190",2000,"France","Hard Coal",26.595
"191",2000,"France","Lignite",0.409
"192",2000,"France","Gas",11.514
"193",2000,"France","Other fossil",12.102
"194",2000,"France","Nuclear",415.162
"195",2000,"France","Renewables",69.4029389999999
"196",2000,"France","Hydro",66.363249
"197",2000,"France","Wind and solar",0.053383
"198",2000,"France","Wind",0.04816
"199",2000,"France","Solar",0.005223
"200",2000,"France","Bioenergy",2.479
"201",2000,"France","Other renewables",0.507307
"202",2000,"France","Production",535.184939
"203",2000,"France","Net imports",-69.479
"204",2000,"France","Demand",465.705938999999
"205",2000,"Germany","Fossil",364.5
"206",2000,"Germany","Coal",291.4
"207",2000,"Germany","Hard Coal",143.1
"208",2000,"Germany","Lignite",148.3
"209",2000,"Germany","Gas",49.2
"210",2000,"Germany","Other fossil",23.9
"211",2000,"Germany","Nuclear",169.6
"212",2000,"Germany","Renewables",37.8399999999999
"213",2000,"Germany","Hydro",24.9
"214",2000,"Germany","Wind and solar",9.54
"215",2000,"Germany","Wind",9.5
"216",2000,"Germany","Solar",0.04
"217",2000,"Germany","Bioenergy",3.4
"218",2000,"Germany","Other renewables",0
"219",2000,"Germany","Production",571.94
"220",2000,"Germany","Net imports",3.1
"221",2000,"Germany","Demand",575.04
"222",2000,"Greece","Fossil",49.281
"223",2000,"Greece","Coal",34.313
"224",2000,"Greece","Hard Coal",0.014
"225",2000,"Greece","Lignite",34.299
"226",2000,"Greece","Gas",5.92
"227",2000,"Greece","Other fossil",9.048
"228",2000,"Greece","Nuclear",0
"229",2000,"Greece","Renewables",4.14399999999999
"230",2000,"Greece","Hydro",3.69299999999999
"231",2000,"Greece","Wind and solar",0.451
"232",2000,"Greece","Wind",0.451
"233",2000,"Greece","Solar",0
"234",2000,"Greece","Bioenergy",0
"235",2000,"Greece","Other renewables",0
"236",2000,"Greece","Production",53.425
"237",2000,"Greece","Net imports",-0.0109999999999998
"238",2000,"Greece","Demand",53.414
"239",2000,"Hungary","Fossil",20.768
"240",2000,"Hungary","Coal",9.59
"241",2000,"Hungary","Hard Coal",0.067
"242",2000,"Hungary","Lignite",9.523
"243",2000,"Hungary","Gas",6.602
